City,Year,Accident_type, Pedestrian, Bicycles, Two-wheelers," Other modes of road transport (auto, bus, lorry)",Total
Chandigarh,2016,Injuries,64,27,150,88,329
Chandigarh,2017,Injuries,55,27,159,61,302
Chandigarh,2018,Injuries,56,13,148,83,300
Chandigarh,2016,Fatalities,38,28,57,28,151
Chandigarh,2017,Fatalities,32,13,46,16,107
Chandigarh,2018,Fatalities,35,11,40,12,98
